City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,codrington,-38.2667,141.9667,14.03,82,99,7.24,AU,1721534479
84,nizhneangarsk,55.7833,109.55,20.56,58,100,1.01,RU,1721534480
85,kibre mengist,5.8833,38.9833,14.9,96,100,0.45,ET,1721534481
86,coquimbo,-29.9533,-71.3436,10.85,89,75,2.06,CL,1721534238
87,mareeba,-17.0,145.4333,26.36,30,69,2.79,AU,1721534483
88,karratha,-20.7377,116.8463,24.83,26,73,8.17,AU,1721534484
89,renfrew,55.872,-4.3925,11.42,91,75,3.09,GB,1721534485
90,yellowknife,62.456,-114.3525,20.31,67,100,2.57,CA,1721534487
91,tsiombe,-25.3,45.4833,15.98,86,10,0.72,MG,1721534488
92,hawaiian paradise park,19.5933,-154.9731,26.52,80,17,0.89,US,1721534489
93,iqaluit,63.7506,-68.5145,6.85,81,20,2.06,CA,1721534414
94,anna,51.4842,40.4299,20.95,60,0,2.9,RU,1721534491
95,minas de marcona,-15.2119,-75.1103,9.26,88,16,3.87,PE,1721534492
96,murghob,38.1702,73.9667,13.09,26,14,2.37,TJ,1721534494
97,fenoarivo atsinanana,-17.3667,49.4167,17.85,87,10,2.39,MG,1721534495
98,yelizovo,53.1873,158.3805,20.08,64,20,7.0,RU,1721534496
99,port lincoln,-34.7333,135.8667,15.84,66,38,10.3,AU,1721534497
100,ust-tsilma,65.441,52.1498,14.04,48,16,2.24,RU,1721534498
101,diu,20.7141,70.9822,28.98,84,100,7.28,IN,1721534500
102,port alfred,-33.5906,26.891,10.1,81,40,0.89,ZA,1721534501
103,nikel,69.4128,30.222,14.1,67,45,0.87,RU,1721534502
104,margate,51.3813,1.3862,18.16,87,100,2.31,GB,1721534503
105,carnot,4.9409,15.8665,20.37,87,96,1.65,CF,1721534505
106,hermanus,-34.4187,19.2345,6.56,81,93,2.49,ZA,1721534506
107,buenaventura,3.8801,-77.0312,24.76,94,93,1.04,CO,1721534507
108,bam,29.106,58.357,36.09,13,25,2.83,IR,1721534509
109,haiku-pauwela,20.9219,-156.3051,27.87,72,57,4.47,US,1721534510
110,tosontsengel,48.7567,98.2839,19.47,58,100,5.46,MN,1721534511
111,tiksi,71.6872,128.8694,7.43,62,90,5.28,RU,1721534512
112,bilibino,68.0546,166.4372,14.4,91,100,2.31,RU,1721534513
113,gola gokarannath,28.0833,80.4667,33.21,63,91,6.0,IN,1721534514
114,norilsk,69.3535,88.2027,12.3,48,33,9.48,RU,1721534516
115,chhatak,25.0333,91.6667,30.49,71,99,1.72,BD,1721534517
116,ust-nera,64.5667,143.2,13.08,95,100,1.98,RU,1721534518
117,isafjordur,66.0755,-23.124,5.22,77,100,4.3,IS,1721534519
118,waitangi,-43.9535,-176.5597,11.57,99,100,1.34,NZ,1721534520
119,kirakira,-10.4544,161.9205,29.3,72,18,4.19,SB,1721534521
120,san patricio,28.017,-97.5169,29.36,74,2,4.59,US,1721534522
121,thompson,55.7435,-97.8558,19.09,55,20,1.03,CA,1721534524
122,meadow lake,34.8014,-106.5436,22.29,62,95,2.66,US,1721534525
123,crane,31.3974,-102.3501,26.88,54,99,9.22,US,1721534526
124,bikenibeu village,1.3673,173.1241,30.98,74,40,4.63,KI,1721534527
125,hamilton,39.1834,-84.5333,21.91,74,94,1.85,US,1721534425
126,papatowai,-46.5619,169.4708,8.91,92,96,4.67,NZ,1721534529
127,ghormach,35.7306,63.7826,31.5,17,0,3.82,AF,1721534531
128,vernon,50.2581,-119.2691,31.2,37,0,0.51,CA,1721534532
129,nantucket,41.2835,-70.0995,23.89,77,87,7.13,US,1721534533
130,fort st. john,56.2499,-120.8529,25.94,50,0,2.57,CA,1721534407
131,shimoda,34.6667,138.95,32.84,72,90,2.84,JP,1721534535
132,georgetown,5.4112,100.3354,32.96,70,20,5.14,MY,1721534351
133,carnarvon,-24.8667,113.6333,20.6,36,0,3.21,AU,1721534537
134,kasongo-lunda,-6.4667,16.8167,15.98,65,2,0.62,CD,1721534539
135,san luis de la loma,17.2706,-100.8939,26.78,80,62,1.08,MX,1721534540
136,argo,37.6333,22.7333,25.99,45,0,1.88,GR,1721534541
137,auki,-8.7676,160.7034,30.38,64,16,1.65,SB,1721534542
138,hoeyang,38.7103,127.5983,24.62,87,99,8.55,KP,1721534543
139,winslow,35.0242,-110.6974,29.1,34,40,8.23,US,1721534544
140,sinabang,2.4803,96.3801,30.81,64,94,2.56,ID,1721534546
141,nuuk,64.1835,-51.7216,5.34,100,28,4.47,GL,1721534547
142,aasiaat,68.7098,-52.8699,3.89,91,86,2.83,GL,1721534548
143,zouerate,22.7187,-12.4521,33.53,23,62,4.12,MR,1721534549
144,chinde,26.8212,87.7095,29.02,75,100,2.53,NP,1721534550
145,patnos,39.2336,42.8634,17.38,72,63,1.45,TR,1721534551
146,kannur,11.8675,75.3576,27.58,83,100,4.68,IN,1721534553
147,devils lake,48.1128,-98.8651,20.06,91,0,2.57,US,1721534554
148,broken hill,-31.95,141.4333,15.63,49,2,6.9,AU,1721534555
149,plouzane,48.3833,-4.6167,15.18,100,100,5.14,FR,1721534556
150,bankim,6.083,11.4905,19.59,99,100,0.8,CM,1721534557
151,tralee,52.2704,-9.7026,11.72,96,99,2.22,IE,1721534558
152,westport,41.1415,-73.3579,24.96,78,100,2.24,US,1721534457
153,mtwara,-10.2667,40.1833,18.63,94,20,3.09,TZ,1721534561
154,rethymno,35.3647,24.4714,28.44,47,0,0.61,GR,1721534562
155,badger,64.8,-147.5333,24.64,48,0,1.6,US,1721534563
156,luderitz,-26.6481,15.1594,13.19,61,74,6.19,NA,1721534564
157,lompoc,34.6391,-120.4579,16.12,88,100,5.14,US,1721534565
158,saint-pierre,-21.3393,55.4781,20.32,63,0,3.6,RE,1721534566
159,punta arenas,-53.15,-70.9167,5.06,75,40,7.2,CL,1721534510
160,tura,25.5198,90.2201,29.59,73,100,2.8,IN,1721534569
161,tindouf,27.6711,-8.1474,35.25,16,34,2.06,DZ,1721534570
162,cooper's town,26.8667,-77.5167,28.15,81,2,6.78,BS,1721534571
163,veraval,20.9,70.3667,28.58,86,100,6.89,IN,1721534573
164,berezovyy,51.6667,135.7,21.74,82,100,1.67,RU,1721534574
165,port isabel,26.0734,-97.2086,29.02,86,56,2.68,US,1721534282
166,singkil,-7.9855,111.4161,29.14,54,0,3.31,ID,1721534577
167,toliara,-23.35,43.6667,17.03,77,0,3.95,MG,1721534578
168,sandakan,5.8402,118.1179,31.82,66,20,3.6,MY,1721534579
169,chishtian,29.8,72.8667,39.85,33,37,2.39,PK,1721534580
170,zhabinka,52.1984,24.0115,16.82,69,76,2.29,BY,1721534581
171,ridder,50.355,83.5133,19.52,83,82,1.62,KZ,1721534583
172,dalnerechensk,45.9339,133.7225,26.04,73,100,1.34,RU,1721534584
173,mar del plata,-38.0023,-57.5575,8.01,89,100,0.89,AR,1721533994
174,diamantino,-14.4086,-56.4461,19.32,37,4,2.47,BR,1721534586
175,ushuaia,-54.8,-68.3,2.81,75,75,11.32,AR,1721534396
176,bamendjou,5.3888,10.3316,14.79,96,99,1.68,CM,1721534588
177,new norfolk,-42.7826,147.0587,13.29,80,100,1.38,AU,1721534589
178,kiama,-34.6833,150.8667,17.92,40,3,3.49,AU,1721534591
179,lagos,6.5833,3.75,24.18,90,90,3.49,NG,1721534170
180,morant bay,17.8815,-76.4093,29.79,90,100,5.69,JM,1721534593
181,aykhal,66.0,111.5,24.82,38,82,9.43,RU,1721534594
182,vilyuchinsk,52.9306,158.4028,20.15,86,100,2.69,RU,1721534595
183,yerofey pavlovich,53.9667,121.9667,26.69,36,14,3.17,RU,1721534596
184,sao joao da barra,-21.6403,-41.0511,17.77,87,0,3.61,BR,1721534598
185,yoichi,43.2039,140.7703,24.99,80,100,2.49,JP,1721534599
186,dakhla,23.6848,-15.958,19.65,87,0,10.72,EH,1721534600
187,alice,27.7523,-98.0697,28.69,83,0,1.54,US,1721534601
188,alexandria,31.2156,29.9553,24.3,76,0,2.5,EG,1721534418
189,sitka,57.0531,-135.33,13.94,88,100,2.06,US,1721534597
190,qui nhon,13.7667,109.2333,30.89,63,100,7.18,VN,1721534606
191,andergrove,-21.0833,149.1833,25.36,49,4,8.1,AU,1721534607
192,aoulef,26.9667,1.0833,34.55,11,0,6.86,DZ,1721534608
193,gereida,11.2811,25.1414,23.11,88,100,3.28,SD,1721534609
194,taltal,-25.4,-70.4833,13.73,77,91,2.61,CL,1721534610
195,qaqortoq,60.7167,-46.0333,4.9,89,89,0.47,GL,1721534611
196,kodiak,57.79,-152.4072,11.96,93,98,4.5,US,1721534510
197,rongelap,11.1635,166.8941,28.17,81,10,7.6,MH,1721534614
198,bengkulu,-3.8004,102.2655,29.45,68,10,2.56,ID,1721534615
199,dunedin,-45.8742,170.5036,11.56,73,100,2.68,NZ,1721534549
200,klyuchi,52.2667,79.1667,24.05,55,29,2.61,RU,1721534617
201,lihue,21.9789,-159.3672,26.77,71,75,4.63,US,1721534620
202,west island,-12.1568,96.8225,29.99,74,40,5.66,CC,1721534621
203,puerto madryn,-42.7692,-65.0385,7.8,49,13,6.31,AR,1721534266
204,arar,30.9753,41.0381,31.01,33,0,6.17,SA,1721534623
205,tomatlan,19.9333,-105.25,25.64,89,88,0.5,MX,1721534624
206,jining,35.405,116.5814,32.07,70,99,6.09,CN,1721534625
207,college,64.8569,-147.8028,25.6,40,20,1.54,US,1721534627
208,northam,51.0333,-4.2167,14.66,94,100,5.78,GB,1721534628
209,gadzhiyevo,69.2551,33.3362,17.72,60,73,3.27,RU,1721534629
210,kingston,17.997,-76.7936,29.53,74,20,7.72,JM,1721534630
211,katsuren-haebaru,26.3369,127.8719,35.01,68,40,5.14,JP,1721534631
212,keflavik,64.0049,-22.5624,10.95,87,0,7.72,IS,1721534632
213,namibe,-15.1961,12.1522,15.45,89,3,0.57,AO,1721534519
214,quibala,-10.7337,14.98,14.3,87,0,1.15,AO,1721534636
215,peniscola,40.3359,0.3613,24.08,58,73,15.16,ES,1721534637
216,maragogi,-9.0122,-35.2225,22.38,84,51,4.15,BR,1721534455
217,imeko,7.45,2.85,22.3,93,98,2.8,NG,1721534639
218,vilhena,-12.7406,-60.1458,20.05,44,11,1.5,BR,1721534640
219,klaksvik,62.2266,-6.589,11.51,98,100,6.73,FO,1721534642
220,wyrzysk,53.153,17.268,15.36,76,19,1.96,PL,1721534643
221,lagoa,39.05,-27.9833,21.93,88,11,4.79,PT,1721534644
